correlate	KOR/-L/-T | 2O8/-4/-7
belting	BEL/-T/-NG | 3E4/-7/-2
peddling	PED/-L/-NG | 4E5/-4/-2
rots	ROT/-S | 1O7/-1
leaden	LED/-N | 5E5/-6
sot	SOT | 7O7
recur	R/KUR | 1/2U8
parasite	PAR/-S/-T | 4A8/-1/-7
bosnian	BOS/-N/-N | 3O1/-6/-6
batty	BAT/-Y | 3A7/-3
pod	POD | 4O5
dictatorial	D/K/T/TOR/-L | 6/2/8/8O8/-4
battering	BAT/-R/-NG | 3A7/-8/-2
partiality	PAR/-T/-L/-T | 4A8/-7/-4/-7
lang	LANG | 5A2
rerun	R/RUN | 1/1U6
rallying	RAL/-NG | 1A4/-2
bullion	BUL/-N | 3U4/-6
pud	PUD | 4U5
pottering	POT/-R/-NG | 4O7/-8/-2
ret	RET | 1E7
ballerina	BAL/-R/-N | 3A4/-8/-6
bal	BAL | 3A4
botany	BOT/-N | 3O7/-6
ballots	BAL/-T/-S | 3A4/-7/-1
urn	UR/-N | U8/-6
buts	BUT/-S | 3U7/-1
patty	PAT/-Y | 4A7/-3
repulsed	R/PUL/-S/-D | 1/4U4/-1/-5
cunningly	KUN/-NG/-L | 2U6/-2/-4
sodden	SOD/-N | 7O5/-6
depositing	D/POS/-T/-NG | 6/4O1/-7/-2
senna	SEN | 7E6
tots	TOT/-S | 8O7/-1
pictorial	P/K/TOR/-L | 4/2/8O8/-4
sultry	SUL/-T/-R | 7U4/-7/-8
alleys	AL/-S | A4/-1
coronet	KOR/-N/-T | 2O8/-6/-7
parody	PAR/-D/-Y | 4A8/-5/-3
sunnyside	SUN/-S/-D | 7U6/-1/-5
sans	SAN/-S | 7A6/-1
analysed	AN/-L/-S/-D | A6/-4/-1/-5
bunging	BUNG/-NG | 3U2/-2
potentiality	P/TEN/-T/-L/-T | 4/8E6/-7/-4/-7
angling	ANG/-L/-NG | A2/-4/-2
palate	PAL/-T | 4A4/-7
pore	POR | 4O8
parley	PAR/-L/-Y | 4A8/-4/-3
dang	DANG | 6A2
balloting	BAL/-T/-NG | 3A4/-7/-2
sari	SAR | 7A8
retaliating	R/TAL/-T/-NG | 1/8A4/-7/-2
bungle	BUNG/-L | 3U2/-4
pats	PAT/-S | 4A7/-1
pussycat	P/S/KAT | 4/7/2A7
parasol	PAR/-S/-L | 4A8/-1/-4
conga	KONG | 2O2
terra	TER | 8E8
retaliated	R/TAL/-T/-D | 1/8A4/-7/-5
parried	PAR/-D | 4A8/-5
tern	TER/-N | 8E8/-6
sedan	S/DAN | 7/6A6
cadet	K/DET | 2/6E7
dreads	D/RED/-S | 6/1E5/-1
atoll	AT/-L | A7/-4
catty	KAT/-Y | 2A7/-3
bangle	BANG/-L | 3A2/-4
patsy	PAT/-S/-Y | 4A7/-1/-3
arras	AR/-S | A8/-1
palisade	PAL/-S/-D | 4A4/-1/-5
scurrying	S/KUR/-NG | 7/2U8/-2
rad	RAD | 1A5
redder	RED/-R | 1E5/-8
darlings	DAR/-L/-NG/-S | 6A8/-4/-2/-1
beltane	BEL/-T/-N | 3E4/-7/-6
bedridden	BED/-R/-D/-N | 3E5/-8/-5/-6
slotted	S/LOT/-D | 7/5O7/-5
tats	TAT/-S | 8A7/-1
adder	AD/-R | A5/-8
cern	SER/-N | 7E8/-6
carrycot	K/R/KOT | 2/1/2O7
duet	DET | 6E7
rut	RUT | 1U7
lapel	L/PEL | 5/4E4
saddling	SAD/-L/-NG | 7A5/-4/-2
tanning	TAN/-NG | 8A6/-2
oddity	OD/-T | O5/-7
sullenly	SUL/-N/-L | 7U4/-6/-4
reborn	R/BOR/-N | 1/3O8/-6
ratty	RAT/-Y | 1A7/-3
cull	KUL | 2U4
polity	POL/-T | 4O4/-7
angrier	ANG/-R/-R | A2/-8/-8
sadder	SAD/-R | 7A5/-8
slats	S/LAT/-S | 7/5A7/-1
purl	PUR/-L | 4U8/-4
sonnets	SON/-T/-S | 7O6/-7/-1
kung	KUNG | 2U2
cults	KUL/-T/-S | 2U4/-7/-1
carne	KAR/-N | 2A8/-6
corny	KOR/-N/-Y | 2O8/-6/-3
kernel	KER/-N/-L | 2E8/-6/-4
sunlit	SUN/-L/-T | 7U6/-4/-7
baronet	BAR/-N/-T | 3A8/-6/-7
potting	POT/-NG | 4O7/-2
ruts	RUT/-S | 1U7/-1
dangle	DANG/-L | 6A2/-4
dallied	DAL/-D | 6A4/-5
slur	S/LUR | 7/5U8
redone	R/DON | 1/6O6
reselling	R/SEL/-NG | 1/7E4/-2
toluene	TOL/-N | 8O4/-6
totter	TOT/-R | 8O7/-8
balloted	BAL/-T/-D | 3A4/-7/-5
bottling	BOT/-L/-NG | 3O7/-4/-2
bedstead	BED/-S/-T/-D | 3E5/-1/-7/-5
tang	TANG | 8A2
bedsit	BED/-S/-T | 3E5/-1/-7
scatty	S/KAT/-Y | 7/2A7/-3
subsidiarity	S/B/S/DAR/-T | 7/3/7/6A8/-7
tutting	TUT/-NG | 8U7/-2
pulsar	PUL/-S/-R | 4U4/-1/-8
pelted	PEL/-T/-D | 4E4/-7/-5
sundial	SUN/-D/-L | 7U6/-5/-4
debar	D/BAR | 6/3A8
sonnet	SON/-T | 7O6/-7
penetrates	PEN/-T/-R/-T/-S | 4E6/-7/-8/-7/-1
rungs	RUNG/-S | 1U2/-1
cud	KUD | 2U5
longings	LONG/-NG/-S | 5O2/-2/-1
sultana	S/L/TAN | 7/5/8A6
ell	EL | E4
drat	D/RAT | 6/1A7
bonnets	BON/-T/-S | 3O6/-7/-1
celerity	S/LER/-T | 7/5E8/-7
dialysis	DAL/-S/-S | 6A4/-1/-1
duality	DAL/-T | 6A4/-7
rebelling	R/BEL/-NG | 1/3E4/-2
sunsets	SUN/-S/-T/-S | 7U6/-1/-7/-1
pelt	PEL/-T | 4E4/-7
lolling	LOL/-NG | 5O4/-2
dilatory	D/L/TOR | 6/5/8O8
panning	PAN/-NG | 4A6/-2
patterning	PAT/-R/-N/-NG | 4A7/-8/-6/-2
butting	BUT/-NG | 3U7/-2
turret	TUR/-T | 8U8/-7
tongued	TONG/-D | 8O2/-5
tolerating	TOL/-R/-T/-NG | 8O4/-8/-7/-2
palates	PAL/-T/-S | 4A4/-7/-1
totalitarian	T/TAL/-T/-R/-N | 8/8A4/-7/-8/-6
tenon	TEN/-N | 8E6/-6
totted	TOT/-D | 8O7/-5
pulsating	PUL/-S/-T/-NG | 4U4/-1/-7/-2
turrets	TUR/-T/-S | 8U8/-7/-1
baddie	BAD/-Y | 3A5/-3
caledonian	KAL/-D/-N/-N | 2A4/-5/-6/-6
bedsitter	BED/-S/-T/-R | 3E5/-1/-7/-8
pestle	PES/-L | 4E1/-4
scuds	S/KUD/-S | 7/2U5/-1
cots	KOT/-S | 2O7/-1
reddening	RED/-N/-NG | 1E5/-6/-2
deaden	DED/-N | 6E5/-6
belted	BEL/-T/-D | 3E4/-7/-5
catalan	KAT/-L/-N | 2A7/-4/-6
baritone	BAR/-T/-N | 3A8/-7/-6
petted	PET/-D | 4E7/-5
tun	TUN | 8U6
tangy	TANG/-Y | 8A2/-3
unadulterated	UN/-D/-L/-T/-R/-T/-D | U6/-5/-4/-7/-8/-7/-5
pattering	PAT/-R/-NG | 4A7/-8/-2
detonated	DET/-N/-T/-D | 6E7/-6/-7/-5
tannin	TAN/-N | 8A6/-6
rebuttal	R/BUT/-L | 1/3U7/-4
sculling	S/KUL/-NG | 7/2U4/-2
turnings	TUR/-N/-NG/-S | 8U8/-6/-2/-1
curler	KUR/-L/-R | 2U8/-4/-8
kerosene	KER/-S/-N | 2E8/-1/-6
tallied	TAL/-D | 8A4/-5
toddling	TOD/-L/-NG | 8O5/-4/-2
repelling	R/PEL/-NG | 1/4E4/-2
resetting	R/SET/-NG | 1/7E7/-2
resonate	RES/-N/-T | 1E1/-6/-7
tad	TAD | 8A5
retro	RET/-R | 1E7/-8
petting	PET/-NG | 4E7/-2
pulsing	PUL/-S/-NG | 4U4/-1/-2
tensile	TEN/-S/-L | 8E6/-1/-4
ostler	OS/-L/-R | O1/-4/-8
patella	P/TEL | 4/8E4
laterally	LAT/-R/-L/-Y | 5A7/-8/-4/-3
deterring	D/TER/-NG | 6/8E8/-2
lorn	LOR/-N | 5O8/-6
detonator	DET/-N/-T/-R | 6E7/-6/-7/-8
catapulted	K/T/PUL/-T/-D | 2/8/4U4/-7/-5
buttering	BUT/-R/-NG | 3U7/-8/-2
duller	DUL/-R | 6U4/-8
satyr	SAT/-R | 7A7/-8
readier	RED/-Y/-R | 1E5/-3/-8
rotter	ROT/-R | 1O7/-8
dungaree	DUNG/-R | 6U2/-8
sleds	S/LED/-S | 7/5E5/-1
tattle	TAT/-L | 8A7/-4
culottes	K/LOT/-S | 2/5O7/-1
slotting	S/LOT/-NG | 7/5O7/-2
suds	SUD/-S | 7U5/-1
scurry	S/KUR | 7/2U8
torrid	TOR/-D | 8O8/-5
pelting	PEL/-T/-NG | 4E4/-7/-2
poring	POR/-NG | 4O8/-2
ornery	OR/-N/-R | O8/-6/-8
burr	BUR | 3U8
duds	DUD/-S | 6U5/-1
donning	DON/-NG | 6O6/-2
erudite	ER/-D/-T | E8/-5/-7
depositor	D/POS/-T/-R | 6/4O1/-7/-8
answerer	AN/-S/-R/-R | A6/-1/-8/-8
cabal	K/BAL | 2/3A4
besotted	B/SOT/-D | 3/7O7/-5
butted	BUT/-D | 3U7/-5
sett	SET | 7E7
tangling	TANG/-L/-NG | 8A2/-4/-2
belladonna	B/L/DON | 3/5/6O6
belladonna	BEL/-D/-N | 3E4/-5/-6
penury	PEN/-R | 4E6/-8
satiny	SAT/-N/-Y | 7A7/-6/-3
patter	PAT/-R | 4A7/-8
unreality	UN/-R/-L/-T/-Y | U6/-8/-4/-7/-3
colonnade	KOL/-N/-D | 2O4/-6/-5
paradises	PAR/-D/-S/-S | 4A8/-5/-1/-1
scorning	S/KOR/-N/-NG | 7/2O8/-6/-2
basalt	BAS/-L/-T | 3A1/-4/-7
paternity	P/TER/-N/-T | 4/8E8/-6/-7
ratting	RAT/-NG | 1A7/-2
battel	BAT/-L | 3A7/-4
palisades	PAL/-S/-D/-S | 4A4/-1/-5/-1
redden	RED/-N | 1E5/-6
paladin	PAL/-D/-N | 4A4/-5/-6
