democrats	DEM/-B/-K/-R/-NK/-T/-S | 6E5r/-2R/-3r/-8/-2r/-7/-1
manufacturing	M/A/N/W/FAK/-CH/-R/-NG | 3l/8l/7l/1l/6lA3r/-2L/-8/-2
manufacturing	M/A/N/Y/FAK/-CH/-R/-NG | 3l/8l/7l/4l/6lA3r/-2L/-8/-2
manufacturing	MAN/-B/-F/-NK/-K/-CH/-R/-NG | 3lA6/-2R/-7l/-2r/-3r/-2L/-8/-2
nervous	NER/-V/-B/-S | 7lE8/-7r/-2R/-1
gathered	GATH/-R/-D | 5lA7L/-8/-5
methods	METH/-B/-D/-S | 3lE7L/-2R/-5/-1
purchase	PUR/-CH/-NK/-SE | 4U8/-2L/-2r/-1r
territory	TER/-T/-B/-R/-Y | 8E8/-7/-2R/-8/-3
allocation	AL/-B/-K/-SH/-N | A4/-2R/-3r/-2l/-6
allocation	AL/-B/-K/-T/-N | A4/-2R/-3r/-7/-6
educational	ED/-B/-K/-SH/-N/-NK/-L | E5/-2R/-3r/-2l/-6/-2r/-4
educational	ED/-B/-K/-T/-N/-NK/-L | E5/-2R/-3r/-7/-6/-2r/-4
establish	N/S/TAB/-L/-SH | 7l/7/8A2R/-4/-2l
valuable	VAL/-B/-B/-L | 1rA4/-2R/-2R/-4
rugby	RUG/-B/-Y | 1U3l/-2R/-3
twelfth	T/WEL/-F/-TH | 8/1lE4/-7l/-7L
anxious	ASH/-B/-S | A2l/-2R/-1
recognized	REK/-B/-G/-N/-ZE/-D | 1E3r/-2R/-3l/-6/-1l/-5
carriage	KAR/-NK/-J | 2A8/-2r/-3L
regularly	REG/-B/-L/-NK/-R/-L/-Y | 1E3l/-2R/-4/-2r/-8/-4/-3
vegetables	VEJ/-T/-NK/-B/-L/-S | 1rE3L/-7/-2r/-2R/-4/-1
gorgeous	GOR/-J/-B/-S | 5lO8/-3L/-2R/-1
directors	D/REK/-T/-B/-R/-S | 6/1E3r/-7/-2R/-8/-1
absence	AB/-S/-N/-SE | A2R/-1/-6/-1r
mothers	MOTH/-R/-S | 3lO7L/-8/-1
habit	HAB/-T | 3rA2R/-7
cotton	KOT/-B/-N | 2O7/-2R/-6
leather	LETH/-R | 5E7L/-8
sergeant	SER/-J/-NK/-N/-T | 7E8/-3L/-2r/-6/-7
substance	SUB/-S/-T/-NK/-N/-SE | 7U2R/-1/-7/-2r/-6/-1r
surgery	SUR/-J/-R/-Y | 7U8/-3L/-8/-3
matches	MACH/-S | 3lA2L/-1
